"u:0","u:1","u:2","Points:0","Points:1","Points:2"
0.00086366,0.0014894,0,0.01056,0.010058,0
0.00092482,0.0015825,0,0.01104,0.010496,0
0.00098731,0.0016792,0,0.01152,0.010933,0
0.001051,0.0017796,0,0.012,0.01137,0
0.0011156,0.001884,0,0.01248,0.011807,0
0.0011811,0.0019927,0,0.01296,0.012244,0
0.0012471,0.0021059,0,0.01344,0.012682,0
0.0013136,0.0022238,0,0.01392,0.013119,0
0.0013802,0.0023467,0,0.0144,0.013556,0
0.0014468,0.0024747,0,0.01488,0.013993,0
0.0015132,0.0026082,0,0.01536,0.01443,0
0.001579,0.0027472,0,0.01584,0.014868,0
0.0016441,0.0028921,0,0.01632,0.015305,0
0.0017083,0.0030429,0,0.0168,0.015742,0
0.0017712,0.0032,0,0.01728,0.016179,0
0.0018326,0.0033633,0,0.01776,0.016616,0
0.0018923,0.0035332,0,0.01824,0.017054,0
0.00195,0.0037097,0,0.01872,0.017491,0
0.0020055,0.0038931,0,0.0192,0.017928,0
0.0020586,0.0040833,0,0.01968,0.018365,0
0.0021089,0.0042806,0,0.02016,0.018802,0
0.0021563,0.0044851,0,0.02064,0.01924,0
0.0022005,0.0046968,0,0.02112,0.019677,0
0.0022413,0.0049159,0,0.0216,0.020114,0
0.0022785,0.0051424,0,0.02208,0.020551,0
0.0023117,0.0053764,0,0.02256,0.020988,0
0.0023409,0.005618,0,0.02304,0.021426,0
0.0023658,0.0058672,0,0.02352,0.021863,0
0.0023861,0.006124,0,0.024,0.0223,0
0.0024018,0.0063886,0,0.02448,0.022737,0
0.0024126,0.0066609,0,0.02496,0.023174,0
0.0024182,0.006941,0,0.02544,0.023612,0
0.0024186,0.0072289,0,0.02592,0.024049,0
0.0024136,0.0075246,0,0.0264,0.024486,0
0.002403,0.0078282,0,0.02688,0.024923,0
0.0023866,0.0081396,0,0.02736,0.02536,0
0.0023642,0.0084589,0,0.02784,0.025798,0
0.0023359,0.0087861,0,0.02832,0.026235,0
0.0023013,0.0091211,0,0.0288,0.026672,0
0.0022603,0.009464,0,0.02928,0.027109,0
0.0022129,0.0098149,0,0.02976,0.027546,0
0.0021588,0.010174,0,0.03024,0.027984,0
0.002098,0.01054,0,0.03072,0.028421,0
0.0020303,0.010915,0,0.0312,0.028858,0
0.0019556,0.011297,0,0.03168,0.029295,0
0.0018738,0.011687,0,0.03216,0.029732,0
0.0017847,0.012086,0,0.03264,0.03017,0
0.0016883,0.012492,0,0.03312,0.030607,0
0.0015844,0.012906,0,0.0336,0.031044,0
0.0014729,0.013328,0,0.03408,0.031481,0
0.0013537,0.013758,0,0.03456,0.031918,0
0.0012266,0.014196,0,0.03504,0.032356,0
0.0010916,0.014641,0,0.03552,0.032793,0
0.00094842,0.015095,0,0.036,0.03323,0
0.00079702,0.015557,0,0.03648,0.033667,0
0.00063724,0.016026,0,0.03696,0.034104,0
0.00046893,0.016503,0,0.03744,0.034542,0
0.00029196,0.016989,0,0.03792,0.034979,0
0.00010616,0.017482,0,0.0384,0.035416,0
-8.8632e-05,0.017982,0,0.03888,0.035853,0
-0.00029258,0.018491,0,0.03936,0.03629,0
-0.00050588,0.019007,0,0.03984,0.036728,0
-0.00072871,0.019531,0,0.04032,0.037165,0
-0.00096129,0.020062,0,0.0408,0.037602,0
-0.0012038,0.020601,0,0.04128,0.038039,0
-0.0014566,0.021147,0,0.04176,0.038476,0
-0.0017198,0.021701,0,0.04224,0.038914,0
-0.0019938,0.022261,0,0.04272,0.039351,0
-0.0022788,0.022828,0,0.0432,0.039788,0
-0.0025752,0.023401,0,0.04368,0.040225,0
-0.0028835,0.02398,0,0.04416,0.040662,0
-0.003204,0.024565,0,0.04464,0.0411,0
-0.0035373,0.025155,0,0.04512,0.041537,0
-0.0038841,0.02575,0,0.0456,0.041974,0
-0.0042453,0.026349,0,0.04608,0.042411,0
-0.0046222,0.02695,0,0.04656,0.042848,0
-0.0050171,0.027554,0,0.04704,0.043286,0
-0.0054345,0.028158,0,0.04752,0.043723,0
-0.0058777,0.02876,0,0.048,0.04416,0
0,0,0,0,0.00088,0
2.0847e-05,4.2768e-05,0,0.00048,0.0013144,0
4.3346e-05,9.0947e-05,0,0.00096,0.0017488,0
6.755e-05,0.00014343,0,0.00144,0.0021832,0
9.3438e-05,0.00019926,0,0.00192,0.0026176,0
0.00012102,0.00025776,0,0.0024,0.003052,0
0.00015033,0.00031841,0,0.00288,0.0034864,0
0.00018145,0.00038085,0,0.00336,0.0039208,0
0.00021443,0.00044483,0,0.00384,0.0043552,0
0.00024935,0.00051019,0,0.00432,0.0047896,0
0.00028627,0.00057685,0,0.0048,0.005224,0
0.00032523,0.00064477,0,0.00528,0.0056584,0
0.00036628,0.00071399,0,0.00576,0.0060928,0
0.00040942,0.00078458,0,0.00624,0.0065272,0
0.00045465,0.00085664,0,0.00672,0.0069616,0
0.00050196,0.0009303,0,0.0072,0.007396,0
0.00055131,0.0010057,0,0.00768,0.0078304,0
0.00060265,0.0010831,0,0.00816,0.0082648,0
0.00065591,0.0011626,0,0.00864,0.0086992,0
0.00071101,0.0012445,0,0.00912,0.0091336,0
0.00076783,0.0013289,0,0.0096,0.009568,0
0.00082628,0.0014162,0,0.01008,0.010002,0
0.0008862,0.0015065,0,0.01056,0.010437,0
0.00094747,0.0016001,0,0.01104,0.010871,0
0.0010099,0.0016972,0,0.01152,0.011306,0
0.0010734,0.001798,0,0.012,0.01174,0
0.0011377,0.0019029,0,0.01248,0.012174,0
0.0012026,0.002012,0,0.01296,0.012609,0
0.001268,0.0021257,0,0.01344,0.013043,0
0.0013337,0.002244,0,0.01392,0.013478,0
0.0013993,0.0023673,0,0.0144,0.013912,0
0.0014648,0.0024958,0,0.01488,0.014346,0
0.0015298,0.0026296,0,0.01536,0.014781,0
0.0015942,0.002769,0,0.01584,0.015215,0
0.0016577,0.0029143,0,0.01632,0.01565,0
0.00172,0.0030655,0,0.0168,0.016084,0
0.001781,0.0032229,0,0.01728,0.016518,0
0.0018404,0.0033866,0,0.01776,0.016953,0
0.0018979,0.0035567,0,0.01824,0.017387,0
0.0019533,0.0037336,0,0.01872,0.017822,0
0.0020064,0.0039172,0,0.0192,0.018256,0
0.0020569,0.0041077,0,0.01968,0.01869,0
0.0021046,0.0043052,0,0.02016,0.019125,0
0.0021492,0.0045099,0,0.02064,0.019559,0
0.0021906,0.0047218,0,0.02112,0.019994,0
0.0022284,0.004941,0,0.0216,0.020428,0
0.0022625,0.0051677,0,0.02208,0.020862,0
0.0022927,0.0054018,0,0.02256,0.021297,0
0.0023187,0.0056435,0,0.02304,0.021731,0
0.0023403,0.0058927,0,0.02352,0.022166,0
0.0023574,0.0061496,0,0.024,0.0226,0
0.0023698,0.0064142,0,0.02448,0.023034,0
0.0023772,0.0066866,0,0.02496,0.023469,0
0.0023795,0.0069666,0,0.02544,0.023903,0
0.0023765,0.0072545,0,0.02592,0.024338,0
0.002368,0.0075502,0,0.0264,0.024772,0
0.002354,0.0078537,0,0.02688,0.025206,0
0.0023341,0.008165,0,0.02736,0.025641,0
0.0023084,0.0084842,0,0.02784,0.026075,0
0.0022766,0.0088112,0,0.02832,0.02651,0
0.0022386,0.0091461,0,0.0288,0.026944,0
0.0021942,0.0094888,0,0.02928,0.027378,0
0.0021434,0.0098395,0,0.02976,0.027813,0
0.002086,0.010198,0,0.03024,0.028247,0
0.0020219,0.010564,0,0.03072,0.028682,0
0.0019509,0.010939,0,0.0312,0.029116,0
0.0018729,0.011321,0,0.03168,0.02955,0
0.0017879,0.011711,0,0.03216,0.029985,0
0.0016957,0.012109,0,0.03264,0.030419,0
0.0015961,0.012515,0,0.03312,0.030854,0
0.0014891,0.012929,0,0.0336,0.031288,0
0.0013745,0.01335,0,0.03408,0.031722,0
0.0012523,0.01378,0,0.03456,0.032157,0
0.0011223,0.014218,0,0.03504,0.032591,0
0.00098428,0.014663,0,0.03552,0.033026,0
0.00083824,0.015116,0,0.036,0.03346,0
0.00068401,0.015578,0,0.03648,0.033894,0
0.00052145,0.016047,0,0.03696,0.034329,0
0.00035042,0.016524,0,0.03744,0.034763,0
0.00017077,0.017008,0,0.03792,0.035198,0
-1.7661e-05,0.017501,0,0.0384,0.035632,0
-0.00021503,0.018002,0,0.03888,0.036066,0
-0.00042151,0.01851,0,0.03936,0.036501,0
-0.00063728,0.019026,0,0.03984,0.036935,0
-0.00086253,0.019549,0,0.04032,0.03737,0
-0.0010975,0.02008,0,0.0408,0.037804,0
-0.0013424,0.020618,0,0.04128,0.038238,0
-0.0015974,0.021164,0,0.04176,0.038673,0
